query,name,google_id,place_id,location_link,reviews_link,reviews,rating,review_id,review_pagination_id,author_link,author_title,author_id,author_image,author_reviews_count,author_ratings_count,review_text,review_img_urls,review_img_url,review_questions,review_photo_ids,owner_answer,owner_answer_timestamp,owner_answer_timestamp_datetime_utc,review_link,review_rating,review_timestamp,review_datetime_utc,review_likes,reviews_id,reviews_per_score_1,reviews_per_score_2,reviews_per_score_3,reviews_per_score_4,reviews_per_score_5
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChZDSUhNMG9nS0VJQ0FnSUQ5dHAtTGZnEAE,CAESdkNBRVFBUnBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNsM1REZE1abDlmWDNoSlVVRkJTa3A0UzFWdVpDMW5TbmRHVG1OQlFVRkJRVUp2U2w5a2JHcEJia2MwVTJOemFrZEJRV2xCUVE=,https://www.google.com/maps/contrib/104699999623714929993?hl=en,JC-TRUST,104699999623714929993,https://lh3.googleusercontent.com/a-/ALV-UjUKJxGwBv86SlfApQq9KCzPyXqrBgMdRaRTT__MeKP5-OqQNqdq=s120-c-rp-mo-ba8-br100,702,0,Beautiful tower by river side in the view downtown.2024/3/16,https://lh5.googleusercontent.com/p/AF1QipPNU-s3EX7_ylhOAhLZVni8ubmLN6zEVqH2PXdO,https://lh5.googleusercontent.com/p/AF1QipPNU-s3EX7_ylhOAhLZVni8ubmLN6zEVqH2PXdO=w150-h150-k-no-p,,AF1QipPNU-s3EX7_ylhOAhLZVni8ubmLN6zEVqH2PXdO,Thank you very much for your great review! 😃,1711630778.0,03/28/2024 12:59:38,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUQ5dHAtTGZnEAE!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgID9tp-Lfg%7CCgsIq9_WrwYQqLbibA%7C?hl=en,5,1710600107,03/16/2024 14:41:47,4,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChdDSUhNMG9nS0VJQ0FnSUMtamRuTXl3RRAB,CAESdkNBRVFBaHBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNsM09XRjBkbDlmWDNoSlVVMXdhMHhhT1ZoNlJHdFBSREIxWkRWQlFVRkJRVUp2U2w5a2RFaEJibVZ4T1VabFowZEJRV2xCUVE=,https://www.google.com/maps/contrib/107326824519646695358?hl=en,Jelena Vucicevic,107326824519646695358,https://lh3.googleusercontent.com/a/ACg8ocLQhfRwxnY88ZX1fGtHyrX4t5dIVnWcVhkwvNVZSVJmev6Wdw=s120-c-rp-mo-ba3-br100,21,87,"The worst private insurance company. I pay every month, but still I had to pay at the Dr's office for a visit and they are not paying back! They are looking for ways not to pay their customers. Never again!
Edit: Dear Uniqa I tried calling the number you shared but it is not working. You have my info so please feel free to contact me. I managed to have a fairly unpleasant conversation with one of your representatives by calling the phone number on the letter which was sent to inform me that one of my claims will not be covered. For other claims they want to contact doctor every time I submit claim. Which would be great if it was done properly. I talked to my drs office and they never received any note from you. Another representative told me a new note was just sent while the first one told me only one note can be sent.
Who is lying?I would love to talk to someone before I have to contact a lawyer since it seems that at this point you do not want to reimburse my claims. Your business is borderline illegal and definitely unethical.
Bottom line for all future users: stay away!",,,,,"We are very sorry that you have had a bad experience with our service at UNIQA Austria. You are welcome to contact our customer service with your request: +43 (0) 50677-670. We would be delighted if you could give us the opportunity to convince you of us and our service.
Kind regards, 
your UNIQA Austria Team",1670339962.0,12/06/2022 15:19:22,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUMtamRuTXl3RRAB!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgIC-jdnMywE%7CCgwIt8S_owYQ8KTwugE%7C?hl=en,1,1685054007,05/25/2023 22:33:27,8,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChdDSUhNMG9nS0VJQ0FnSUNCaDVqN21nRRAB,CAESdkNBRVFBeHBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNsM0xYbHZkbDlmWDNoSlVXWm5VbDlLUnkxUWEyaHFkekZPVkRsQlFVRkJRVUp2U2w5a2RGVkJibkE0Y1ZNM1VrZEJRV2xCUVE=,https://www.google.com/maps/contrib/101220258442692738821?hl=en,Raul Jidvean,101220258442692738821,https://lh3.googleusercontent.com/a-/ALV-UjUMUk6GpfDttxD03XIxfOWvag_UHF6fVWcysMazo7Js7uQ3GSA=s120-c-rp-mo-br100,4,0,"This is not an insurance company, this from our car insurance experience is a scaming company that will use each and every possible.little loophole in the law to trap u into policies that you can only cancel when they feel like it. So pretty much they will steal from you. Stay away!!!",,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNCaDVqN21nRRAB!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgICBh5j7mgE%7CCgsI98DcnQYQoKSqKQ%7C?hl=en,1,1672945783,01/05/2023 19:09:43,6,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChdDSUhNMG9nS0VJQ0FnSURtNnUzZW5BRRAB,CAESdkNBRVFCQnBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNsNFRIRkVabDlmWDNoSlVUZ3hNamRPVUhGd1dWUmFjMjFETVRsQlFVRkJRVUp2U2w5a2RsTkJiMFZ4T1U5eU5FZEJRV2xCUVE=,https://www.google.com/maps/contrib/116016637278470905101?hl=en,Erik Galvans,116016637278470905101,https://lh3.googleusercontent.com/a/ACg8ocLUK3_nM4KtqVd0YMIRRC_hEXx1NvwN965oOwwZi3l5rYjkb0c=s120-c-rp-mo-br100,13,0,"The company is trying to scam you out of your money at each step.
First of all, they will include EVERYTHING that you potentially might have in the future. All kinds of illnesses, things that come with age.
This way they are not working with statistical probability and Big Data that works on large numbers. They make sure they profit from each and every customer, even if all insurance cases will occur. So at no risk for UNIQA.

Second, even in cases where you followed the procedures and forwarded invoices to the company, they try to weasel out of payment. Claiming, that they are unable to wire the money due to some missing information they don't try to solve it. They just close a case at every step in hope, that a customer busy and forgets about this or is too tired to jump over all the hops.

Not sure, whether other private insurance companies are better (probably not), but this is my experience with this one.

EDIT: 14 days later after complaint via E-Mail and the App and still no progress. One would think that the company will use the chance to make things right, but apparently not this one.",,,,,"Dear Mr. Galvans,
We are very sorry that you have had a bad experience with our service at UNIQA Austria. The satisfaction of our customers is important to us. You are welcome to contact our customer service with your request or complaint: +43 (0) 50677-670. We would be delighted if you could give us the opportunity to convince you of us and our service.
Kind regards, your UNIQA Austria team",1643113557.0,01/25/2022 12:25:57,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSURtNnUzZW5BRRAB!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgIDm6u3enAE%7CCgwIhJWFkAYQ2KjLqwE%7C?hl=en,1,1644251780,02/07/2022 16:36:20,9,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChZDSUhNMG9nS0VJQ0FnSURzNU8yTVh3EAE,CAESdkNBRVFCUnBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNsNE1YSnZkbDlmWDNoSlVVWldSbWRaYjE4d1psaHBhazQxZDNwQlFVRkJRVUp2U2w5a01YTkJieTFLU1dKZlJVZEJRV2xCUVE=,https://www.google.com/maps/contrib/100083084552432454439?hl=en,Daniel Mishunichev,100083084552432454439,https://lh3.googleusercontent.com/a-/ALV-UjV51dCY-OeRwdTsu5BCSQOYegJWJcmIM9ZZC6MdzBXiQZQzQ2sp=s120-c-rp-mo-ba4-br100,84,165,"My experience with this insurance company begun with question of immediate getting the insurance for residence permit. Here everything was smooth and fast.

Later I had an accident and then money were returned but not as fast as expected eventhough I had all documents needed.
Until this point I had recommended this company.

When I had to cancel my insurance something strange happened: they ""couldn't charge"" money from my account and waited 4 months to inform me! Added extra fee and told to pay. Email was from new email adress, no stamps or signatures - just information.
I tried to find out was it a spam or not but didn't get it.

After 8!!! months I was contacted again with the same request.
Appeared that it might be not a spam and it was explained to me why but still no stamps or anything official.

Total anarchy and low level of service. Definetely wouldn't recommend now.
P.S. I paid that amount in order to forger about it but still not sure if it was right decision or not",,,,,"Dear Daniel Mishunichev,
We are very sorry that you have had a bad experience with our service at UNIQA Austria. You are welcome to contact our customer service with your request: +43 (0) 50677-670. We would be delighted if you could give us the opportunity to convince you of us and our service.
Kind regards, your UNIQA team",1582617177.0,02/25/2020 07:52:57,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURzNU8yTVh3EAE!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgIDs5O2MXw%7CCgwIodvO8gUQqP3klQM%7C?hl=en,2,1582542241,02/24/2020 11:04:01,4,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChZDSUhNMG9nS0VJQ0FnSURldThHZUJBEAE,CAESdkNBRVFCaHBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNsNWREQkRkbDlmWDNoSlVUZE1SbXd3VlRoNFYycG5WMnBZWlROQlFVRkJRVUp2U2w5a0xWRkJibmRMV204d09FZEJRV2xCUVE=,https://www.google.com/maps/contrib/114503686413087138622?hl=en,Saereh Zabihi,114503686413087138622,https://lh3.googleusercontent.com/a-/ALV-UjVwzxnQsCpd2tOwy0kkP7cBX46YfPGmknZNCzfjjZCXtH0DmbTQ=s120-c-rp-mo-br100,6,18,The worst insurance co that i have ever seen. Nobody pick the phone up there if you were in an urgent case. Not recommended at all.,,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURldThHZUJBEAE!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgIDeu8GeBA%7CCgwIsZzFmgYQoJrsmQM%7C?hl=en,1,1666272817,10/20/2022 13:33:37,8,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChZDSUhNMG9nS0VJQ0FnSUNLMTQyQ1p3EAE,CAESdkNBRVFCeHBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNsNlNEaHJVRjlmWDNoSlVVOUNNVE14T0dndExUbFJVRzF0YURGQlFVRkJRVUp2U2w5bFExRkJiMk5IUTNKRWRrZEJRV2xCUVE=,https://www.google.com/maps/contrib/114180594674288480293?hl=en,George Washington,114180594674288480293,https://lh3.googleusercontent.com/a-/ALV-UjX-tMdNMcZgkrr1iQOWyoIXwGGtYA06bztEOG-egAwhZA3hThh9=s120-c-rp-mo-ba4-br100,138,5,If you want to lose money go ahead and buy insurance from this company. They are always looking for a reason not to reimburse. Worst experience I ever had in my life.,,,,,"We are very sorry that you have had a bad experience with our service at UNIQA Austria. You are welcome to contact our customer service with your request: +43 (0) 50677-670. We would be delighted if you could give us the opportunity to convince you of us and our service.
Kind regards, your UNIQA Austria team",1619679169.0,04/29/2021 06:52:49,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNLMTQyQ1p3EAE!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgICK142CZw%7CCgwI-oyGhAYQwLausQI%7C?hl=en,1,1619101306,04/22/2021 14:21:46,10,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChZDSUhNMG9nS0VJQ0FnSURNbko3QmZREAE,CAESdkNBRVFDQnBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNreFFYcFFkbDlmWDNoSlVUbFhVR0YxU0RKcWQzQTFXblJ2TnpsQlFVRkJRVUp2U2w5bFZYTkJjRVJpU21NMlZFZEJRV2xCUVE=,https://www.google.com/maps/contrib/103531685482529363552?hl=en,Sejad Imamovic,103531685482529363552,https://lh3.googleusercontent.com/a/ACg8ocLf7CzUvYc7BE8gFH33j5MvHtGBf_zVRH-iFJBBKRbKeQlSFw=s120-c-rp-mo-ba2-br100,12,55,My wife and I have a family health insurance with Uniqa. After surgery Uniqa provided full support to us and we never felt left behind by the company.,,,,,"Thank you very much for your positive rating  😃 😃 😃
Kind regards,
Your UNIQA Team",1578494755.0,01/08/2020 14:45:55,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSURNbko3QmZREAE!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgIDMnJ7BfQ%7CCgwI7Mr07wUQiIuCsQM%7C?hl=en,5,1576871276,12/20/2019 19:47:56,0,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChdDSUhNMG9nS0VJQ0FnSUNpcGQybjFBRRAB,CAESdkNBRVFDUnBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNremExaEpYMTlmWDNoSlVUTjFXVE5NZUhWWWMxRlBRWFZNVGxGQlFVRkJRVUp2U2w5bGRIQkJiM0JVY0VORVUwZEJRV2xCUVE=,https://www.google.com/maps/contrib/107332388030872163883?hl=en,Richard Wanisch (raute),107332388030872163883,https://lh3.googleusercontent.com/a-/ALV-UjVeYZ0gn4OUouLO3BBVnKIx67n1gJZIIAVJrzg8wUASEE9LOAq-=s120-c-rp-mo-br100,6,28,"Even when mistakes happen at your local insurance agency, the central stays unresponsive regarding disputes.",,,,,,,,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChdDSUhNMG9nS0VJQ0FnSUNpcGQybjFBRRAB!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgICipd2n1AE%7CCgwIx5qk_QUQsJbu3wE%7C?hl=en,1,1604914503,11/09/2020 09:35:03,8,2859867729362349331,105,4,7,10,71
UNIQA + Austria,UNIQA,0x476d07ff5ce08697:0x27b04a8c313eed13,ChIJl4bgXP8HbUcRE-0-MYxKsCc,"https://www.google.com/maps/place/UNIQA/@48.2128466,16.383760199999998,14z/data=!4m8!1m2!2m1!1sUNIQA!3m4!1s0x476d07ff5ce08697:0x27b04a8c313eed13!8m2!3d48.2128466!4d16.383760199999998",https://search.google.com/local/reviews?placeid=ChIJl4bgXP8HbUcRE-0-MYxKsCc&q=UNIQA+++Austria&authuser=0&hl=en&gl=US,197,2.7,ChZDSUhNMG9nS0VJQ0FnSUNzM2NDbWNnEAE,CAESdkNBRVFDaHBTUTJkblNVRm9TVUZIUVVWcFFVRnZlRU5CUlZOTFVXOUxRVVF0WDNrMVRXUjZkbDlmWDNoSlVXUllaVVF0TlZSMGVXTTFTV05VV21WQlFVRkJRVUp2U2w5bE9XbEJiMTlOTkdoRldVZEJRV2xCUVE=,https://www.google.com/maps/contrib/105993578654280381956?hl=en,Alaska,105993578654280381956,https://lh3.googleusercontent.com/a-/ALV-UjX3useBm5RmYcl7rfskDijK_HmY_oyfCMM2MIGmBBIz3inGjhny=s120-c-rp-mo-ba4-br100,86,44,The people don’t really seemed to be interested in trying to help you and in my case they would give you the back in any moment,,,,,"Dear Clelia Villarreal,
We are very sorry that you have had a bad experience with our service. You are welcome to contact our customer service with your request: +43 (0) 50677-670. We would be delighted if you could give us the opportunity to convince you of us and our service.
Kind regards, your UNIQA team",1581499150.0,02/12/2020 09:19:10,https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sChZDSUhNMG9nS0VJQ0FnSUNzM2NDbWNnEAE!2m1!1s0x0:0x27b04a8c313eed13!3m1!1s2@1:CIHM0ogKEICAgICs3cCmcg%7CCgwI_KqJ8gUQyPHItAI%7C?hl=en,1,1581405564,02/11/2020 07:19:24,8,2859867729362349331,105,4,7,10,71
