#,Review,Composite Score,Sentiment
1,Beautiful tower by river side in the view downtown.,0.8,Positive
2,"The worst private insurance company. I pay every month, but still I had to pay at the doctor's office for a visit and they are not paying back! They are looking for ways not to pay their customers. Never again!",-0.95,Negative
3,"This is not an insurance company, this from our car insurance experience is a scamming company that will use each and every possible little loophole in the law to trap you into policies that you can only cancel when they feel like it. So pretty much they will steal from you. Stay away!!!",-0.95,Negative
4,"The company is trying to scam you out of your money at each step. First of all, they will include EVERYTHING that you potentially might have in the future. All kinds of illnesses, things that come with age. This way they are not working with statistical probability and Big Data that works on large numbers. They make sure they profit from each and every customer, even if all insurance cases will occur. So at no risk for UNIQA. Second, even in cases where you followed the procedures and forwarded invoices to the company, they try to weasel out of payment. Claiming that they are unable to wire the money due to some missing information they don't try to solve it. They just close a case at every step in hope that a customer busy and forgets about this or is too tired to jump over all the hops. Not sure whether other private insurance companies are better (probably not), but this is my experience with this one. EDIT: 14 days later after complaint via E-Mail and the App and still no progress. One would think that the company will use the chance to make things right, but apparently not this one.",-0.85,Negative
5,"My experience with this insurance company begun with question of immediate getting the insurance for residence permit. Here everything was smooth and fast. Later I had an accident and then money were returned but not as fast as expected eventhough I had all documents needed. Until this point I had recommended this company. When I had to cancel my insurance something strange happened: they ""couldn't charge"" money from my account and waited 4 months to inform me! Added extra fee and told to pay. Email was from new email address, no stamps or signatures - just information. I tried to find out was it a spam or not but didn't get it. After 8!!! months I was contacted again with the same request. Appeared that it might be not a spam and it was explained to me why but still no stamps or anything official. Total anarchy and low level of service. Definitely wouldn't recommend now. P.S. I paid that amount in order to forget about it but still not sure if it was right decision or not.",-0.75,Negative
6,The worst insurance company that I have ever seen. Nobody picks the phone up there if you were in an urgent case. Not recommended at all.,-0.95,Negative
7,If you want to lose money go ahead and buy insurance from this company. They are always looking for a reason not to reimburse. Worst experience I ever had in my life.,-0.95,Negative
8,"My wife and I have a family health insurance with Uniqa. After surgery, Uniqa provided full support to us and we never felt left behind by the company.",0.9,Positive
9,"Even when mistakes happen at your local insurance agency, the central stays unresponsive regarding disputes.",-0.6,Negative
10,The people don’t really seem to be interested in trying to help you and in my case they would give you the back in any moment.,-0.5,Negative
11,Good insurance!,0.8,Positive
12,Super,0.9,Positive
13,Super,0.9,Positive
14,"The worst experience I ever had with an insurance. I had the accident insurance for 16 years and when I needed it for the first time, they kept me on hold and refused with pseudo-arguments that were neither logical nor medically justified. Nothing works without a lawsuit, which they seem to have aimed for. In case of emergency, having to sue, especially when you are already medically challenged, is really the last resort.",-0.9,Negative
15,"NO STAR! In the course of a bank change, unfortunately, I overlooked to continue the debiter of UNIQA. Received no reminders or reminders from UNIQA (also no hint of missing insurance coverage) and then a court claim after 2 months out of the blue. According to a telephone inquiry with the insurance, this does not have to take care of reminders, but I have to take care that the premiums are paid. Great when you only find out about the outstanding premiums through the court.... PS: It was about a monthly premium of 15,- Euro which I certainly did not want to evade. NEVER AGAIN! Insurance already terminated.",-0.8,Negative
16,"I have been waiting for a response for 3 weeks, as I would like to take out new insurance. Apparently not necessary...",-0.4,Negative
17,"Completely overpriced life insurance, which despite 25 years of payment despite booming stock markets only generates the return that you could have achieved in a savings account without an insurance component, it's actually a negative return. Stay away.",-0.95,Negative
18,"If you have no problem with your insurance, everything is going great. However, the first problem arises, the insurance sends ""reinforcement"" and does not pay. Too bad that many of these reviews are not posted here.",-0.7,Negative
19,"As a family, we have been with UNIQA for almost 20 years, we have all insurances, we have filed claims in the past, they are always handled smoothly and quickly. I can only recommend it.",0.9,Positive
20,"I have had all kinds of insurance policies with UNIQA for many years. Whether motor vehicle, household, accident or health insurance, everything is always handled smoothly and quickly. So far, I have never had any problems. I can only recommend UNIQA.",0.9,Positive
21,I have been insured with UNIQA for many years... and am satisfied... you can call or send something by fax... and there is also one branch in the 1st district of Vienna... we have always been advised or helped in a friendly manner.,0.8,Positive
22,"Good service, friendly staff, always available. However, the costs of the policies are quite high.",0.6,Positive
23,"If you get along with UNIQA, everything is going great. The first problem that arises, the insurance sends ""reinforcement"" and does not pay. Too bad that many of these reviews are not posted here.",-0.7,Negative
24,"Friendly and accommodating. I waited a little longer, but everything was within the normal range.",0.4,Positive
25,We have been insured with UNIQA for many years... and are satisfied... you can call or send something by fax... and there is also one branch in the 1st district of Vienna... we have always been advised or helped in a friendly manner.,0.8,Positive
26,I have been insured with UNIQA for many years... and am satisfied... you can call or send something by fax... and there is also one branch in the 1st district of Vienna... we have always been advised or helped in a friendly manner.,0.8,Positive
27,"When you need help, you can call, write or drop by. Staff are friendly and competent. There is nothing wrong with this.",0.7,Positive
28,I waited 3 weeks for a response. Apparently not necessary.,-0.4,Negative
29,"They were friendly and accommodating. I waited a little longer, but everything was within the normal range.",0.4,Positive
30,We have been insured with UNIQA for many years... and are satisfied... you can call or send something by fax... and there is also one branch in the 1st district of Vienna... we have always been advised or helped in a friendly manner.,0.8,Positive
31,The worst insurance company ever. They always try to avoid paying out benefits to their clients. I regret ever signing up with them.,-0.95,Negative
32,"Excellent service, quick response times, and friendly staff. Highly recommended.",0.9,Positive
33,UNIQA provides reliable insurance coverage at competitive rates. Their customer service is responsive and helpful. I've had a positive experience with them so far.,0.9,Positive
34,"The claims process with UNIQA is frustratingly slow and complicated. They make it difficult to receive payouts, which is very disappointing.",-0.8,Negative
35,"UNIQA offers a wide range of insurance products to choose from, which is convenient. However, their pricing is not always the most competitive in the market.",-0.7,Negative
36,"UNIQA's customer service is efficient and knowledgeable. They are accessible and helpful in addressing inquiries and claims. Overall, a positive experience.",0.8,Positive
37,"UNIQA's diverse insurance options allow for customization according to individual needs, which is commendable. However, some customers have experienced delays and complications in the claims process, indicating room for improvement.",-0.7,Negative
38,"UNIQA demonstrates a commitment to customer service, with responsive representatives and convenient online platforms. However, there have been reports of issues with claims processing and pricing.",0.6,Positive
39,"UNIQA Insurance provides a wide range of insurance products tailored to various needs, which is advantageous. However, there have been complaints about delays and complications in the claims process, suggesting areas for improvement.",-0.7,Negative
