#,Review,Sentiment Score,Sentiment,,,,
1,"Rarely have we experienced something so unprofessional. The house was purchased and was previously insured with Uniqa. As required, I informed you via the contact form, I am the new owner, attached the purchase contract. No Answer. Called after a few days, ""please write to us again, I don't see anything here."" Written again, again no answer, but always automatic. Confirmation email. After three calls it worked. Now that we are in the land register we can cancel, even circus. Already sent three cancellations and received the email “We welcome you as a new customer” twice. Great. They don't see me anymore.",-0.98,Negative,,,,
2,"Incompetent staff who do not put names or signatures on their mostly negative letters. Justified claims are rejected based on technically and factually incorrect reasons. The only option left is to file a lawsuit. Older people who, for example, have an accident while on a spa (several rib fractures) due to a lack of care are denied any compensation for pain and suffering.",-0.94,Negative,,,,
3,For me they are criminals. I have business interruption insurance that I had to take advantage of. Very incompetent staff. You can't reach anyone and no one is responsible. I've now been waiting a month for the business interruption compensation and I'm sure it will take even longer than the first business interruption. I also canceled the insurance and was charged a premium discount of 480 euros. HANDS OFF THIS INSURANCE!!!!!!!,-0.97,Negative,,,,
4,"Stay away from this insurance I had a torn ligament in April 2021 and accident insurance with direct benefits. It's November and I haven't received any money, I'm trying to reach them right now I should just wait! cheekiness!!",-0.91,Negative,,,,
5,Remuneration is repeatedly refused and only paid after repeated inquiries - either the staff is not that capable or they are just trying to save money.,-0.89,Negative,,,,
6,"As long as you pay in, everything is OK, but if you have any damage, the problems start. You keep making new excuses so you don't have to pay anything, suddenly, according to Uniqa, exactly this damage is not insured. I will now do all mine Cancel insurance (10 contracts) and choose a reputable insurance company!!!!",-0.9,Negative,,,,
7,"If one assumes that insurance is ""insurance"", then this is definitely the wrong address. For months we have not been paid for the damage amounting to almost 40,000 euros after a nasty break-in. This was the last time that I signed a UNIQA insurance contract and others should also consider this. It's unbelievable how you treat a victim.",-0.98,Negative,,,,
8,"I have household and legal protection with Uniqa. Legal protection left me in the lurch with a wet apartment because it must have been broken beforehand, they say. Yes, that's exactly why I wanted legal protection so that I could defend myself. The liability insurance also didn't pay when my colleague dropped my glasses because it happened at work. Thank you Uniqa for NOTHING AND GARNIX. I'm a single parent with 2 minors, I thought I had support, but this turned out to be additional worry, phone calls, discussions, money being thrown away. My advisor also did little or nothing, she said I should call, I should write an email.",-0.97,Negative,,,,
9,"After paying in monthly for over 15 years (I'll call the sum of the deposits 100%), I get around 87% out of my premium-subsidized future provision... I thought this was financial provision for me and not for UNIQA. With such performances I will speculate again in the future and advise others to do the same.",-0.94,Negative,,Word,Frequency,
10,"It has now been 5 months since I had water damage. To date I have not received any money for the repair. Almost no one can ever be reached by phone. Forever in the wading queue. Emails are not answered. I never received anything in writing by post either. If you are lucky enough to reach an employee, there will be neither an apology nor a certain level of friendliness. This is how we deal with customers who have been with us for decades. Don't think that my next insurance deals will be with Uniqa.",-0.99,Negative,,the,285,
11,"Life insurance canceled, called about payout amount. The amount paid out was more than 1000 less than what I was told. Not a single written bill received. People like to be ripped off here, it's simply dubious.",-0.97,Negative,,i,186,
12,"Cancellation was not processed!!! On March 24th, 2023 I submitted 2 notices of termination. Since I didn't receive any confirmation of my cancellation by mail, I called them. Conclusion: ""Unfortunately the cancellation was not forwarded, I have now done it for you. By chance I found out almost 2 months later that my cancellation had simply not been processed further!! That is an absolute disgrace!!",-0.98,Negative,,to,168,
13,"They are always punctual when it comes to monthly debits, but when it really comes down to it and you really need to claim reimbursement for medical costs after several years, you suddenly need months. Not to mention that you have to run 100 times after customer service, which is almost impossible to reach anyway.",-0.94,Negative,,and,147,
14,"Customer service very poor, insurance was canceled without our knowledge. Uniqa says they sent us a letter, but we never received it. I then wanted to have a conversation with a consultant, but he was very angry and unfriendly. I'm now waiting for a call from the head office, to whom I have now written a letter of complaint.",-0.92,Negative,,a,136,129
15,Praise the competent UNIQA consultants. They advise and look after their customers. Solutions that do not necessarily have anything to do with UNIQA insurance are also discussed and considered. They cannot do anything about the inflation-related increase in premiums.,0.86,Positive,,insurance,129,
