type;phone;title;dataId;rating;address;placeId;reviews;website;position;thumbnail;keyword.ll;keyword.keyword;gpsCoordinates.latitude;gpsCoordinates.longitude;serviceOptions.0;serviceOptions.1;serviceOptions.2
Insurance agency;+43 512 265757;UNIQA GeneralAgentur Holzner-Moll GmbH;0x479d6f409687add3:0x4d67b4cb9b32ffec;5;An-der-Lan-Straße 33, 6020 Innsbruck, Austria;ChIJ062HlkBvnUcR7P8ym8u0Z00;2;https://www.uniqa.at/versicherung/cms/betreuer/visitenkarte.html;4;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NYJ1TTRAaB96uDR64vS80g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=6.187114&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Tyrol, Innsbruck;47.2727491;11.4414926;Wheelchair-accessible car park;;
Insurance agency;+43 664 3831858;UNIQA GeneralAgentur Prokesch Josef;0x47739964ccbfb4d3:0x230501a7787c776f;5;Sonnensteinstraße 14, 4040 Linz, Austria;ChIJ07S_zGSZc0cRb3d8eKcBBSM;1;https://www.uniqa.at/versicherung/cms/betreuer/visitenkarte.html;7;https://lh5.googleusercontent.com/p/AF1QipP1dbqMQZfoE48zigZ1umfNThtgbmAqBa-O5xti=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Upper Austria, Linz;48.3129725;14.2849796;Wheelchair-accessible car park;;
Insurance company;+43 7289 4325;UNIQA ServiceCenter & Kfz Zulassungsstelle Rohrbach;0x477481ae652af7d1:0x2f881144efb0c935;4.8;Linzer Str. 11, 4150 Rohrbach, Austria;ChIJ0fcqZa6BdEcRNcmw70QRiC8;8;https://servicecenter.uniqa.at/rohrbach/de/;12;https://lh5.googleusercontent.com/p/AF1QipOmgDxr9NeRDrAJ3S-WFT0TTZwGvSe2SEdaHN5n=w136-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.5704911;13.994140699999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance company;+43 4352 51111;UNIQA ServiceCenter & Kfz Zulassungsstelle Wolfsberg;0x477020fa29b400d1:0xe2254ed3acfb95d8;4.6;Roßmarkt 5, 9400 Wolfsberg, Austria;ChIJ0QC0KfogcEcR2JX7rNNOJeI;17;https://servicecenter.uniqa.at/wolfsberg/de/;1;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XWi5h53mYX2rKEH78UwKjg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=96.56731&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Wolfsberg;46.839489;14.8412394;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 662 88860;Raiffeisen-Versicherung AG Landesdirektion;0x47769064ee8f72d7:0xc40c29e55ba4b2df;;Schwarzstraße 15, 5020 Salzburg, Austria;ChIJ13KP7mSQdkcR37KkW-UpDMQ;;undefined;11;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m9lj5qCdEq2fJ5qsOAAlIA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=230.86734&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Salzburg, Salzburg;47.803287999999995;13.041544;Wheelchair-accessible car park;;
Insurance agency;+43 664 88838982;UNIQA GeneralAgentur Wien Süd;0x476da96e804688d7:0xb3a32ad17888d739;5;Ketzergasse 14/1A, 1230 Wien, Austria;ChIJ14hGgG6pbUcROdeIeNEqo7M;3;https://www.uniqa-wien-sued.at/;12;https://lh5.googleusercontent.com/p/AF1QipMv6plzPBTkF2NbiQ0eQ9n0eUlkigW19UDt5apS=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vienna, Vienna;48.126050299999996;16.3172058;Wheelchair-accessible car park;Wheelchair-accessible entrance;Wheelchair-accessible seating
Insurance company;+43 4762 2104;UNIQA ServiceCenter & Kfz Zulassungsstelle Spittal;0x4770a34fc4dd9dd7:0x22204a144a58e80e;4;Bahnhofstraße 6a, 9800 Spittal an der Drau, Austria;ChIJ153dxE-jcEcRDuhYShRKICI;12;https://servicecenter.uniqa.at/spittal-drau/de/;1;https://lh5.googleusercontent.com/p/AF1QipPC6U6iNrKgfVKDMbwjVO0BU1RAHFUO6wqYn0fZ=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Carinthia, Spittal an der Drau;46.7986155;13.4923;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance company;+43 7712 4525;UNIQA ServiceCenter & Kfz Zulassungsstelle Schärding;0x47745dd55009dcdb:0xf7bbd893a90a4360;4.7;Franz-Xaver-Brunner-Straße 44, 4780 Schärding, Austria;ChIJ29wJUNVddEcRYEMKqZPYu_c;13;https://servicecenter.uniqa.at/schaerding/de/;52;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ZmwgVBz2pGkvco1-gilWIQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=84.46753&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.460076199999996;13.4332414;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 664 3044448;Uniqa;0x477477a920976afb:0x28c0ab58ad36e98a;5;Kienzlstraße 23, 4730 Waizenkirchen, Austria;ChIJ-2qXIKl3dEcRiuk2rVirwCg;1;undefined;67;https://lh5.googleusercontent.com/p/AF1QipNuQNxK0win_t9n-56Ta-obqvbTOrWuYJO02PRv=w122-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.3315772;13.854733099999999;Wheelchair-accessible car park;;
Driver and vehicle licensing agency;+43 1 213334291;UNIQA Kfz Zulassungsstelle Richard-Strauss-Straße;0x476da962f81920d9:0xa53b2e6275771c3e;3;Richard-Strauss-Straße 14, 1230 Wien, Austria;ChIJ2SAZ-GKpbUcRPhx3dWIuO6U;18;https://www.uniqa.at/versicherung/kfz/kfz-zulassung-zulassungsstellen.html;33;https://lh5.googleusercontent.com/p/AF1QipNwj3K9nVLzopj4MSMPioAW9ZaEDUkfRSVYnvZT=w80-h106-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Vienna, Vienna;48.144901;16.3403812;Wheelchair-accessible entrance;;
Insurance agency;+43 662 829938;UNIQA GeneralAgentur Versicherungsbüro Weiß GmbH;0x477691aab08a45d9:0x79efcec3a3a3f2d0;;Eduard-Macheiner-Straße 9, 5020 Salzburg, Austria;ChIJ2UWKsKqRdkcR0PKjo8PO73k;;https://www.uniqa.at/versicherung/cms/betreuer/visitenkarte.html;3;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=f3FIb7r0UCV2Aw4OofqQPA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=202.30574&pitch=0&thumbfov=100;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Salzburg, Salzburg;47.771375;13.0394533;Wheelchair-accessible car park;;
Insurance company;;UNIQA KFZ Zulassungsstelle DENZEL GRAZ;0x476e351779461ddb:0xeb268d82768b3b36;5;Forstergasse 15, 8053 Graz, Austria;ChIJ2x1GeRc1bkcRNjuLdoKNJus;2;undefined;8;https://lh5.googleusercontent.com/p/AF1QipNUhUt25Y9uEKaXm_Q_xu4Swwa9s7LS2YdP6rzD=w163-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Styria, Graz;47.0579837;15.411907;Wheelchair-accessible car park;Wheelchair-accessible entrance;
Insurance agency;+43 664 88916326;UNIQA GeneralAgentur Wiesmair;0x4773978da86d18db:0xe9908040579c82d;;Getreidestraße 13/Top 6, 4061 Pasching, Austria;ChIJ2xhtqI2Xc0cRLch5BQQImQ4;;https://www.uniqa-wiesmair.at/;17;;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.261958799999995;14.208967399999999;Wheelchair-accessible car park;;
Insurance agency;+43 2732 79749;UNIQA GeneralAgentur Schwarzhappel & Partner;0x4772854dc9bd90d9:0xcde6843fc217fb5c;5;Ringstraße 57, 3500 Krems an der Donau, Austria;ChIJ2ZC9yU2FckcRXPsXwj-E5s0;6;https://www.uniqa-schwarzhappel.at/;2;https://lh5.googleusercontent.com/p/AF1QipOi2f1DJRTjti3fRbMCSVkTXNqbF-CAaJyWEO6s=w80-h142-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Lower Austria, Krems an der Donau;48.4066863;15.594890099999999;Wheelchair-accessible car park;;
Insurance company;+43 7722 63312;UNIQA ServiceCenter & Kfz Zulassungsstelle Braunau;0x477435f5a4447adf:0x46a426034441d345;4.8;Ringstraße 45, 5280 Braunau am Inn, Austria;ChIJ33pEpPU1dEcRRdNBRAMmpEY;45;https://servicecenter.uniqa.at/braunau-am-inn/de/;1;https://lh5.googleusercontent.com/p/AF1QipOzvuxrRvvlzT_VM0c5Jxp-Wl0L2Oq0xhfdfKFE=w80-h99-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Braunau am Inn;48.2557956;13.037384999999999;Wheelchair-accessible car park;;
Insurance agency;+43 2632 72348;UNIQA GeneralAgentur Piestingtal;0x476dee738129b9dd:0x8d5d9ab4fb316aa0;4.8;Hauptstraße 47, 2763 Pernitz, Austria;ChIJ3bkpgXPubUcRoGox-7SaXY0;17;https://www.uniqa-piestingtal.at/;19;https://lh5.googleusercontent.com/p/AF1QipNqUBoVLrRRiQaIijQ3SkSu5hIMIIw2iakw-Jkx=w138-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Lower Austria, Traiskirchen;47.8975893;15.963304599999999;Online appointments;On-site services;
Insurance agency;+43 1 3533530;UNIQA GeneralAgentur Ziegelbecker & Partner;0x476d07d3c59e1fdf:0x326c9d9965809786;4.9;Hirschstettner Str. 19-21/Stiege J / 2. Stock, 1220 Wien, Austria;ChIJ3x-exdMHbUcRhpeAZZmdbDI;46;https://www.uniqa-ziegelbecker.at/;7;https://lh5.googleusercontent.com/p/AF1QipPyOAYe2GHueXGH6vTKlHCmBlcxuAzft89Zuy8J=w126-h92-k-no;@40.7455096,-74.0083012,14z;uniqa insurance in AT, Vienna, Vienna;48.2455846;16.4534354;Online appointments;On-site services;
Insurance agency;+43 7752 85933;UNIQA Ried GeneralAgentur InnSurance / Versicherung & Zulassungsstelle;0x4774152fd2d5abe3:0xc80d5334d956b19c;5;Wildfellnerstraße 35, 4910 Ried im Innkreis, Austria;ChIJ46vV0i8VdEcRnLFW2TRTDcg;25;http://www.inn-surance.at/;39;https://lh5.googleusercontent.com/p/AF1QipOp9-Z2mgvhfX5fFly4r_p2V7vsWEmNOMf4I4sZ=w189-h92-k-no;@40.7455096,-74.0083012,14z;uniqa in AT, Upper Austria, Linz;48.2120367;13.483417999999999;Wheelchair-accessible car park;Wheelchair-accessible entrance;
