type;phone;title;dataId;rating;address;placeId;reviews;website;position;thumbnail;description;keyword.ll;keyword.keyword;gpsCoordinates.latitude;gpsCoordinates.longitude;serviceOptions.0;serviceOptions.1;serviceOptions.2;serviceOptions.3;serviceOptions.4;serviceOptions.5;serviceOptions.6
Hotel;+43 660 7218623;Modern Hotel Krems Hauptbahnhof;0x47728468273eaad3:0x3f97b9dc02aff59;5;Bahnhofpl. 18, 3500 Krems an der Donau, Austria;ChIJ06o-J2iEckcRWf8qwJ17-QM;1;undefined;77;https://lh3.googleusercontent.com/gps-proxy/ALd4DhFLdufMuEZqu5OpDFKXeVFQY4dbosOL9wVVRw5obAT6YuBTmsa_CkwQFXBHjE2VUlDC5eK7IqzxvNeVybtOaJFrxFDEyChx8YOrF9WreSxzuD5T2WD8CDhknIjLjoj0t68sVgC9QFLfGSASb4XZlghGzgFJandfjIJXxB7o_04rPSV-Qb0USjAJtQ=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.409738;15.605146;;;;;;;
Cafe;+43 2732 21202;Wieser Wachau Café & Shop in Krems;0x4772856f687bb5d1:0x451d48ee197331dc;4.8;Ob. Landstraße 28, 3500 Krems an der Donau, Austria;ChIJ0bV7aG-FckcR3DFzGe5IHUU;12;undefined;41;https://lh5.googleusercontent.com/p/AF1QipNNW5g-HlFuzM3IQOCIyahawUZwO4_9LO4P-ie1=w80-h142-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Krems an der Donau;48.410428599999996;15.597308799999999;Dine-in;Delivery;;;;;
Guest house;+43 660 6008332;Monteurzimmer Amstetten;0x477249cc26e8c3d1:0xf53c9e7169d73892;5;Wienerstr. 89, 3300 Amstetten, Austria;ChIJ0cPoJsxJckcRkjjXaXGePPU;1;undefined;4;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=K0g8gzDKDleQer0EMUEuHQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=5.4829307&pitch=0&thumbfov=100;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Amstetten;48.1225721;14.884689499999999;;;;;;;
Hotel;+43 4242 22522;voco Villach, an IHG Hotel;0x477081d0136fd8d1:0x823c64df48ae89f1;4.5;Europapl. 1/2, 9500 Villach, Austria;ChIJ0dhvE9CBcEcR8YmuSN9kPII;1068;https://www.ihg.com/voco/hotels/gb/en/villach/kluat/hoteldetail;2;https://lh5.googleusercontent.com/p/AF1QipMDbyho5tlQSxY1OGQbiEEJPD3X5SMd4Kz83WJe=w134-h92-k-no;Sleek hotel with a restaurant & 2 bars. Bright rooms & suites in a contemporary riverside hotel featuring dining, bars & a spa.. . t;@40.7455096,-74.0083012,14z;vig in AT, Carinthia, Villach;46.6152179;13.849993;LGBTQ+ friendly;;;;;;
Insurance agency;+43 2252 443290;Allianz Agentur Maurer Pichler GmbH;0x476db0ff7cfe4fff:0x26ba3dfbb99ea0db;4.7;Wr. Str. 36, 2514 Traiskirchen, Austria;ChIJ_0_-fP-wbUcR26Ceufs9uiY;34;https://www.allianz.at/maurer-pichler;1;https://lh5.googleusercontent.com/p/AF1QipOwEgBHy036KsgFUCVQFNjGFM29S5SUnFRghjX3=w163-h92-k-no;;@40.7455096,-74.0083012,14z;vienna insurance group (vig) in AT, Lower Austria, Traiskirchen;48.0188196;16.2956933;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Student union;;Siegfried-Ludwig-Bude der KÖAV Floriana St. Pölten;0x477278a7f35717d1:0x4658dc6386ef9902;;Hammerweg 14/Stiege 5, 1A, 3100 St. Pölten, Austria;ChIJ0RdX86d4ckcRApnvhmPcWEY;;http://floriana.at/;3;https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_80nmqz7lKeQYvYFx7JG7A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=271.1323&pitch=0&thumbfov=100;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Sankt Pölten;48.202535499999996;15.630498399999999;Wheelchair-accessible seating;Wheelchair-accessible toilet;;;;;
Research institute;+43 2243 9000;VISTA Science Education Lab;0x476d0dfc58974ad1:0x4f788214f45e1a6c;5;Am Campus 1, 3400 Klosterneuburg, Austria;ChIJ0UqXWPwNbUcRbBpe9BSCeE8;1;http://vistascience.at/;3;https://lh5.googleusercontent.com/p/AF1QipNAlOid51BzlYpTEpqq3GAjE2IZ6pP5hV_z4GsH=w137-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Klosterneuburg;48.3120611;16.2599719;Wheelchair-accessible car park;;;;;;
Restaurant;+43 2236 46345;Restaurant Pasta;0x476daf0db4d958d1:0x321cb1fccb729a1b;4.5;Enzersdorfer Str. 14, 2340 Mödling, Austria;ChIJ0VjZtA2vbUcRG5pyy_yxHDI;1488;http://www.pasta-online.at/;17;https://lh5.googleusercontent.com/p/AF1QipNoSQ5D8QmIFeIbydo8_a4tNSorXIin-SU1yAyk=w122-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Mödling;48.0880808;16.2841456;Outdoor seating;Kerbside pickup;Takeaway;Dine-in;Delivery;;
;;Wien-Flughafen;0x476c5501b80736d3:0xcd0d1e6959e0e8bc;;1300 Schwechat, Austria;ChIJ0zYHuAFVbEcRvOjgWWkeDc0;;undefined;4;https://lh5.googleusercontent.com/p/AF1QipN5ooe0G8k8_BKdum7JXy2nDCZXGP6uf6WVQ37E=w185-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Schwechat;48.1179542;16.5662612;;;;;;;
City government office;+43 2243 4440;Stadtgemeinde Klosterneuburg;0x476d0f1c1a7455d5:0x52dd4bb41619e30;4.4;Rathauspl. 1, 3400 Klosterneuburg, Austria;ChIJ1VV0GhwPbUcRMJ5hQbvULQU;21;https://www.klosterneuburg.at/de;20;https://lh5.googleusercontent.com/p/AF1QipOTb4AXFOLZ5nHyOlZVXlytnb8HAUfI4myooWad=w137-h92-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Lower Austria, Klosterneuburg;48.3047586;16.3255004;Wheelchair-accessible car park;Wheelchair-accessible entrance;;;;;
Restaurant;+43 676 9503940;The Kitchen by Andreas Haidinger;0x4771dfc970d69dd5:0xa49877ddaa9a922e;4.2;Hauptpl. 19, 8700 Leoben, Austria;ChIJ1Z3WcMnfcUcRLpKaqt13mKQ;631;https://www.the-kitchen.at/;9;https://lh5.googleusercontent.com/p/AF1QipOlnS7VR1eO2LPQFDnlGpvbBm8avLoxAQSzDfRn=w80-h120-k-no;;@40.7455096,-74.0083012,14z;vig in AT, Styria, Leoben;47.381993699999995;15.0960068;Outdoor seating;Kerbside pickup;No-contact delivery;Delivery;Takeaway;Dine-in;
